success,code,data,responseTimestamp,subfolder,subsubfolder
True,SUCCESS,"{'aggregated': {'registeredUsers': 39173, 'appOpens': 503126}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 11485, 'percentage': 0.29318663365072883}, {'brand': 'Vivo', 'count': 7940, 'percentage': 0.20269062874939373}, {'brand': 'Samsung', 'count': 7048, 'percentage': 0.1799198427488321}, {'brand': 'Oppo', 'count': 5503, 'percentage': 0.1404794118397876}, {'brand': 'Realme', 'count': 1760, 'percentage': 0.044928905113215734}, {'brand': 'Apple', 'count': 953, 'percentage': 0.024327981007326475}, {'brand': 'OnePlus', 'count': 884, 'percentage': 0.022566563704592448}, {'brand': 'Motorola', 'count': 683, 'percentage': 0.017435478518367242}, {'brand': 'Huawei', 'count': 560, 'percentage': 0.01429556071784137}, {'brand': 'Lenovo', 'count': 442, 'percentage': 0.011283281852296224}, {'brand': 'Others', 'count': 1915, 'percentage': 0.04888571209761826}]}",1630501497603,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 29649, 'appOpens': 0}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 8452, 'percentage': 0.28506863637896723}, {'brand': 'Vivo', 'count': 5967, 'percentage': 0.2012546797531114}, {'brand': 'Samsung', 'count': 5464, 'percentage': 0.1842895207258255}, {'brand': 'Oppo', 'count': 4167, 'percentage': 0.14054436911868864}, {'brand': 'Realme', 'count': 1345, 'percentage': 0.045364093224054776}, {'brand': 'Apple', 'count': 703, 'percentage': 0.023710749097777328}, {'brand': 'OnePlus', 'count': 669, 'percentage': 0.022563998785793786}, {'brand': 'Motorola', 'count': 564, 'percentage': 0.019022563998785793}, {'brand': 'Lenovo', 'count': 380, 'percentage': 0.01281662113393369}, {'brand': 'Huawei', 'count': 375, 'percentage': 0.012647981382171405}, {'brand': 'Others', 'count': 1563, 'percentage': 0.05271678640089042}]}",1630501496536,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 43108, 'appOpens': 470440}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 12590, 'percentage': 0.29205715876403454}, {'brand': 'Vivo', 'count': 8910, 'percentage': 0.20669017351767655}, {'brand': 'Samsung', 'count': 7684, 'percentage': 0.17824997680244967}, {'brand': 'Oppo', 'count': 6141, 'percentage': 0.1424561566298599}, {'brand': 'Realme', 'count': 2003, 'percentage': 0.04646469332838452}, {'brand': 'Apple', 'count': 1058, 'percentage': 0.02454300825832792}, {'brand': 'OnePlus', 'count': 954, 'percentage': 0.02213046302310476}, {'brand': 'Motorola', 'count': 752, 'percentage': 0.017444557854690543}, {'brand': 'Huawei', 'count': 607, 'percentage': 0.01408091305558133}, {'brand': 'Lenovo', 'count': 433, 'percentage': 0.010044539296650274}, {'brand': 'Others', 'count': 1976, 'percentage': 0.045838359469240045}]}",1630501497953,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 12918, 'appOpens': 0}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 3442, 'percentage': 0.26644991484749964}, {'brand': 'Samsung', 'count': 2443, 'percentage': 0.18911596222325439}, {'brand': 'Vivo', 'count': 2394, 'percentage': 0.18532280538783094}, {'brand': 'Oppo', 'count': 1754, 'percentage': 0.1357795324353615}, {'brand': 'Realme', 'count': 606, 'percentage': 0.046911286576869486}, {'brand': 'Apple', 'count': 358, 'percentage': 0.027713268307787583}, {'brand': 'OnePlus', 'count': 320, 'percentage': 0.02477163647623471}, {'brand': 'Motorola', 'count': 265, 'percentage': 0.02051401145688187}, {'brand': 'Lenovo', 'count': 206, 'percentage': 0.015946740981576096}, {'brand': 'Micromax', 'count': 188, 'percentage': 0.014553336429787893}, {'brand': 'Others', 'count': 942, 'percentage': 0.07292150487691593}]}",1630501495033,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 17749, 'appOpens': 0}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 4906, 'percentage': 0.2764099385880895}, {'brand': 'Vivo', 'count': 3378, 'percentage': 0.19032058144120795}, {'brand': 'Samsung', 'count': 3360, 'percentage': 0.18930643979942532}, {'brand': 'Oppo', 'count': 2448, 'percentage': 0.13792326328243845}, {'brand': 'Realme', 'count': 819, 'percentage': 0.04614344470110992}, {'brand': 'Apple', 'count': 457, 'percentage': 0.025747929460814695}, {'brand': 'OnePlus', 'count': 440, 'percentage': 0.024790129021353316}, {'brand': 'Motorola', 'count': 364, 'percentage': 0.020508197644937744}, {'brand': 'Lenovo', 'count': 240, 'percentage': 0.013521888557101808}, {'brand': 'Huawei', 'count': 200, 'percentage': 0.011268240464251508}, {'brand': 'Others', 'count': 1137, 'percentage': 0.06405994703926982}]}",1630501495501,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 8784, 'appOpens': 0}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 2316, 'percentage': 0.26366120218579236}, {'brand': 'Samsung', 'count': 1720, 'percentage': 0.19581056466302368}, {'brand': 'Vivo', 'count': 1570, 'percentage': 0.17873406193078326}, {'brand': 'Oppo', 'count': 1138, 'percentage': 0.12955373406193077}, {'brand': 'Realme', 'count': 429, 'percentage': 0.04883879781420765}, {'brand': 'Apple', 'count': 259, 'percentage': 0.029485428051001822}, {'brand': 'OnePlus', 'count': 233, 'percentage': 0.026525500910746812}, {'brand': 'Motorola', 'count': 161, 'percentage': 0.018328779599271403}, {'brand': 'Lenovo', 'count': 159, 'percentage': 0.018101092896174863}, {'brand': 'Micromax', 'count': 117, 'percentage': 0.01331967213114754}, {'brand': 'Others', 'count': 682, 'percentage': 0.07764116575591985}]}",1630501494710,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 23883, 'appOpens': 0}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 6734, 'percentage': 0.2819578779885274}, {'brand': 'Vivo', 'count': 4711, 'percentage': 0.19725327638906334}, {'brand': 'Samsung', 'count': 4481, 'percentage': 0.18762299543608424}, {'brand': 'Oppo', 'count': 3307, 'percentage': 0.13846669178913873}, {'brand': 'Realme', 'count': 1087, 'percentage': 0.045513545199514296}, {'brand': 'Apple', 'count': 591, 'percentage': 0.024745634970481094}, {'brand': 'OnePlus', 'count': 555, 'percentage': 0.023238286647406105}, {'brand': 'Motorola', 'count': 486, 'percentage': 0.020349202361512372}, {'brand': 'Lenovo', 'count': 349, 'percentage': 0.014612904576476992}, {'brand': 'Huawei', 'count': 278, 'percentage': 0.011640078717079094}, {'brand': 'Others', 'count': 1304, 'percentage': 0.054599505924716324}]}",1630501496222,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 53034, 'appOpens': 695673}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 15512, 'percentage': 0.2924916091563902}, {'brand': 'Vivo', 'count': 11201, 'percentage': 0.21120413319757136}, {'brand': 'Samsung', 'count': 9371, 'percentage': 0.17669796734170531}, {'brand': 'Oppo', 'count': 7736, 'percentage': 0.14586868801146435}, {'brand': 'Realme', 'count': 2628, 'percentage': 0.04955311686842403}, {'brand': 'Apple', 'count': 1234, 'percentage': 0.02326809216728891}, {'brand': 'OnePlus', 'count': 1131, 'percentage': 0.02132594184862541}, {'brand': 'Motorola', 'count': 828, 'percentage': 0.015612625862654146}, {'brand': 'Huawei', 'count': 786, 'percentage': 0.014820681072519515}, {'brand': 'Lenovo', 'count': 461, 'percentage': 0.008692536863144399}, {'brand': 'Others', 'count': 2146, 'percentage': 0.04046460761021232}]}",1630501498670,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 58401, 'appOpens': 1015680}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 17122, 'percentage': 0.2931799113028887}, {'brand': 'Vivo', 'count': 12388, 'percentage': 0.21211965548535128}, {'brand': 'Samsung', 'count': 10309, 'percentage': 0.17652094998373316}, {'brand': 'Oppo', 'count': 8583, 'percentage': 0.14696666152976834}, {'brand': 'Realme', 'count': 3003, 'percentage': 0.05142035239122618}, {'brand': 'Apple', 'count': 1338, 'percentage': 0.022910566599886988}, {'brand': 'OnePlus', 'count': 1228, 'percentage': 0.021027037208266982}, {'brand': 'Motorola', 'count': 865, 'percentage': 0.01481139021592096}, {'brand': 'Huawei', 'count': 851, 'percentage': 0.014571668293351141}, {'brand': 'Lenovo', 'count': 500, 'percentage': 0.008561497234636393}, {'brand': 'Others', 'count': 2214, 'percentage': 0.03791030975496995}]}",1630501499172,bihar,state
True,SUCCESS,"{'aggregated': {'registeredUsers': 47790, 'appOpens': 590484}, 'usersByDevice': [{'brand': 'Xiaomi', 'count': 13890, 'percentage': 0.290646578782172}, {'brand': 'Vivo', 'count': 10052, 'percentage': 0.21033689056287927}, {'brand': 'Samsung', 'count': 8475, 'percentage': 0.177338355304457}, {'brand': 'Oppo', 'count': 6916, 'percentage': 0.1447164678803097}, {'brand': 'Realme', 'count': 2292, 'percentage': 0.047959824231010674}, {'brand': 'Apple', 'count': 1130, 'percentage': 0.023645114040594266}, {'brand': 'OnePlus', 'count': 1058, 'percentage': 0.022138522703494454}, {'brand': 'Motorola', 'count': 787, 'percentage': 0.01646788030968822}, {'brand': 'Huawei', 'count': 703, 'percentage': 0.014710190416405106}, {'brand': 'Lenovo', 'count': 453, 'percentage': 0.009478970495919649}, {'brand': 'Others', 'count': 2034, 'percentage': 0.04256120527306968}]}",1630501498353,bihar,state
